id,YEAR,MONTH,DISTRICT,STATE,AADHAR_NO,ENROLLED_BY
87,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
88,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
89,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
90,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
91,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
92,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
93,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
94,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
95,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
96,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
97,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
98,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
99,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
101,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
102,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
103,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
104,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
105,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
106,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
107,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
108,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
109,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
110,2014,3,KOPPAL,KARNATAKA,AD0000001,NBI
111,2014,4,KOPPAL,KARNATAKA,AD0000001,NBI
112,2014,5,KOPPAL,KARNATAKA,AD0000001,NBI
113,2014,6,KOPPAL,KARNATAKA,AD0000001,NBI
114,2014,7,KOPPAL,KARNATAKA,AD0000001,NBI
115,2014,8,KOPPAL,KARNATAKA,AD0000001,NBI
116,2014,9,KOPPAL,KARNATAKA,AD0000001,NBI
117,2014,10,KOPPAL,KARNATAKA,AD0000001,NBI
118,2014,11,KOPPAL,KARNATAKA,AD0000001,NBI
119,2014,3,KANNUR,KARNATAKA,AD0000001,NBI
120,2014,4,KANNUR,KARNATAKA,AD0000001,NBI
121,2014,5,KANNUR,KARNATAKA,AD0000001,NBI
122,2014,6,KANNUR,KARNATAKA,AD0000001,NBI
123,2014,7,KANNUR,KARNATAKA,AD0000001,NBI
124,2014,8,KANNUR,KARNATAKA,AD0000001,NBI
125,2014,9,KANNUR,KARNATAKA,AD0000001,NBI
126,2014,10,KANNUR,KARNATAKA,AD0000001,NBI
127,2014,11,KANNUR,KARNATAKA,AD0000001,NBI
